metric,code,label,iso,country,year,value
pisa_sci,I.B1.5.6,PISA science mean,RUS,Russia,2018,477.71768
pisa_read,I.B1.5.5,PISA reading mean,KOR,South Korea,2000,524.7543
pisa_math,I.B1.5.4,PISA mathematics mean,KOR,South Korea,2003,542.22736
pisa_read,I.B1.5.5,PISA reading mean,KOR,South Korea,2003,534.09125
pisa_math,I.B1.5.4,PISA mathematics mean,KOR,South Korea,2006,547.4585
pisa_read,I.B1.5.5,PISA reading mean,KOR,South Korea,2006,556.0219
pisa_sci,I.B1.5.6,PISA science mean,KOR,South Korea,2006,522.14813
pisa_math,I.B1.5.4,PISA mathematics mean,KOR,South Korea,2009,546.2285
pisa_read,I.B1.5.5,PISA reading mean,KOR,South Korea,2009,539.26746
pisa_sci,I.B1.5.6,PISA science mean,KOR,South Korea,2009,537.9862
pisa_math,I.B1.5.4,PISA mathematics mean,KOR,South Korea,2012,553.76666
pisa_read,I.B1.5.5,PISA reading mean,KOR,South Korea,2012,535.79047
pisa_sci,I.B1.5.6,PISA science mean,KOR,South Korea,2012,537.7876
pisa_math,I.B1.5.4,PISA mathematics mean,KOR,South Korea,2015,524.1062
pisa_read,I.B1.5.5,PISA reading mean,KOR,South Korea,2015,517.4367
pisa_sci,I.B1.5.6,PISA science mean,KOR,South Korea,2015,515.80994
pisa_math,I.B1.5.4,PISA mathematics mean,KOR,South Korea,2018,525.933
pisa_read,I.B1.5.5,PISA reading mean,KOR,South Korea,2018,514.0523
pisa_sci,I.B1.5.6,PISA science mean,KOR,South Korea,2018,519.00726
pisa_math,I.B1.5.4,PISA mathematics mean,KOR,South Korea,2022,527.3025
pisa_read,I.B1.5.5,PISA reading mean,KOR,South Korea,2022,515.4154
pisa_sci,I.B1.5.6,PISA science mean,KOR,South Korea,2022,527.82245
pisa_read,I.B1.5.5,PISA reading mean,THA,Thailand,2000,430.68387
pisa_math,I.B1.5.4,PISA mathematics mean,THA,Thailand,2003,416.97797
pisa_read,I.B1.5.5,PISA reading mean,THA,Thailand,2003,419.91483
pisa_math,I.B1.5.4,PISA mathematics mean,THA,Thailand,2006,417.0726
pisa_read,I.B1.5.5,PISA reading mean,THA,Thailand,2006,416.75177
pisa_sci,I.B1.5.6,PISA science mean,THA,Thailand,2006,421.01147
pisa_math,I.B1.5.4,PISA mathematics mean,THA,Thailand,2009,418.58392
pisa_read,I.B1.5.5,PISA reading mean,THA,Thailand,2009,421.37442
pisa_sci,I.B1.5.6,PISA science mean,THA,Thailand,2009,425.2963
pisa_math,I.B1.5.4,PISA mathematics mean,THA,Thailand,2012,426.7375
pisa_read,I.B1.5.5,PISA reading mean,THA,Thailand,2012,441.21994
pisa_sci,I.B1.5.6,PISA science mean,THA,Thailand,2012,443.99994
pisa_math,I.B1.5.4,PISA mathematics mean,THA,Thailand,2015,415.4638
